Segundo,Canal1_Delta,Canal1_Theta,Canal1_Alpha,Canal1_Beta,Canal1_Gamma,Canal2_Delta,Canal2_Theta,Canal2_Alpha,Canal2_Beta,Canal2_Gamma,Canal3_Delta,Canal3_Theta,Canal3_Alpha,Canal3_Beta,Canal3_Gamma,Canal4_Delta,Canal4_Theta,Canal4_Alpha,Canal4_Beta,Canal4_Gamma,Canal5_Delta,Canal5_Theta,Canal5_Alpha,Canal5_Beta,Canal5_Gamma,Canal6_Delta,Canal6_Theta,Canal6_Alpha,Canal6_Beta,Canal6_Gamma,Canal7_Delta,Canal7_Theta,Canal7_Alpha,Canal7_Beta,Canal7_Gamma,Canal8_Delta,Canal8_Theta,Canal8_Alpha,Canal8_Beta,Canal8_Gamma
311,0.00351038140436392,0.00325718657571999,0.002948509455029438,0.0017528913745127087,0.0018763048353539454,0.0015112389809202598,0.0015032928362300072,0.0015249971438372717,0.009038008086879856,0.009511758515620465,0.007175677574891585,0.004017254008725063,0.00411361860319252,0.004248120362302877,0.003926862303819811,0.004143833104364938,0.010386552856953137,0.009082780944309674,0.007714376724449072,0.0059161262946796625,0.005659399624128767,0.006832842440375043,0.00945625957022649,0.007793861819104843,0.01282263914694814,0.012813919454273265,0.014668334963330837,0.012057790870984506,0.01303485475068963,0.012714252501025388,0.012227750937282301,0.014839155674619919,0.013237508668514,0.013723924967118632,0.010967177141542805,0.012966894438537145,0.013904837606904608,0.012854753461986772,0.013320854009086568,0.014105831519064667
312,0.003791181820783694,0.003498320051008869,0.003162385397502184,0.0018290208196765248,0.0019976344628406997,0.0015222873111557294,0.0015740474135351225,0.0016158952770355776,0.009622936928693744,0.010265642893819718,0.007642029920603382,0.004312134164199267,0.0043689250762810146,0.00444470180354786,0.0040768020489948395,0.0043296674744280955,0.010642730633175225,0.009401944344762478,0.008203548152840053,0.005708393105912138,0.005499289013590382,0.006732920357845694,0.009495376284760788,0.0074960873118604075,0.013218856919476834,0.012807240795850171,0.014642359738261009,0.01220079782765581,0.012896550699311268,0.012831987670019125,0.011892050096772473,0.014620336019451483,0.013275355731845982,0.01381943258033122,0.010947486223630712,0.01294253525429461,0.01390165082235483,0.012861055088625756,0.013345766084461277,0.01412865992761837
313,0.003984749339224439,0.0037620810954823525,0.0032935691436856086,0.0019178541043363324,0.0020476303096013454,0.0015376415308832074,0.0015608474708214371,0.001635098085336706,0.010210028041128154,0.010897058555573162,0.008176856833833976,0.004540015238730294,0.004492013963382309,0.0046241429535615825,0.004322239748440992,0.004422242766238484,0.010820943432288071,0.00977328135020949,0.008645470037982635,0.0055670608098508136,0.00522078043083355,0.006725443004883474,0.009735266421136172,0.007160584313117154,0.01365761267022036,0.012655503488361686,0.014629171619423944,0.012179745332064004,0.01291195437948039,0.013160221149575144,0.012213655544081358,0.014295678346639445,0.013265995218364902,0.013892805896507848,0.010916973960607595,0.012916630639417564,0.013879318017418402,0.012881705239345474,0.01329535973268834,0.0141513244672341
314,0.004170142062515752,0.003944774977301378,0.0035263379756652136,0.001967815145601007,0.002097634149968721,0.0015386222465089204,0.0016936344347546904,0.0016035494845077101,0.010772622745737826,0.011586840869135046,0.00857187423308535,0.004848513835537204,0.004718618392305132,0.004886365561806446,0.004377256412895579,0.004573971747053292,0.010904799031423586,0.010069760227029736,0.009201109638603128,0.005520830451460519,0.005111013888548996,0.006875004719073553,0.009908831604069293,0.00696759399969572,0.014129519240341866,0.012616009742043278,0.014799693902728431,0.012135110364350282,0.013115254447182116,0.013355029342393807,0.012593061429388624,0.013859858914101486,0.013194720223954955,0.01397206517177349,0.011002778667517492,0.012859718824034022,0.013849443244532017,0.01283448300758674,0.013245317090021629,0.014138517376984511
315,0.0043348440009198025,0.004159127538575413,0.0036944528510761184,0.0020788463430836696,0.002243776765413425,0.0016162962896398767,0.001766671020247808,0.0017972024346203843,0.011195461893213708,0.01220211277596293,0.008847020838078234,0.005059276268188532,0.004806045135247369,0.005042921015751568,0.0045917418678815035,0.004465820912529083,0.010989945598046029,0.010606511601080629,0.009676271605065515,0.005384991761624534,0.005380105003376797,0.006995246549911105,0.009833519838260588,0.006849235329377028,0.014702590232705377,0.012922800371545501,0.015578432402653601,0.012084777287305705,0.013297089016277644,0.013469423183774313,0.012919375111061605,0.013256128443124243,0.01317758859246432,0.01399638039117901,0.011103396859966265,0.012747671106228835,0.013752290280600795,0.012767004976373644,0.01324820811112239,0.014076682832122945
316,0.0044653772673555565,0.00433483967104949,0.0037910032969000525,0.0021352089310714565,0.0023264539736901273,0.0016548900890672406,0.001790256323438776,0.0018770583993217417,0.01161590695547389,0.012676362805124177,0.009273716900801443,0.005231187440662394,0.0049122258787795275,0.005280407074902841,0.004788284340293676,0.004569686174645057,0.011137712081391282,0.011104373412255139,0.00995756795816951,0.005264260655441704,0.005597471820522016,0.006952047766873243,0.009820704088270375,0.006603787637922463,0.015319534135607663,0.013723170903550415,0.016273810907060527,0.012598975366101195,0.013385131933072001,0.013620426411711406,0.013338161499925267,0.012549380365411375,0.013321369596720667,0.014069419308140757,0.011132860628239935,0.012703002831820402,0.013694896184277862,0.012763764901112331,0.013314324564655772,0.014062070519020115
317,0.004590574801298893,0.004475206739098142,0.0039057994831526457,0.0021809100460828215,0.002348904850859299,0.0016722423774103248,0.0017944249893485822,0.0018949747365397264,0.011943326419411216,0.013218489213567245,0.009594309824591167,0.00552342470991142,0.005124637658952856,0.0055615805263033585,0.0049019707474785585,0.004690325021283542,0.011173204361407323,0.011466445161367939,0.010287495416218439,0.0052974950746234074,0.005659862587185225,0.006867247589875776,0.00995288770142897,0.006260689380517719,0.01593007249498347,0.014405717004619773,0.016697607955076247,0.013377416770309557,0.01343374771693737,0.01395376114462909,0.013964104871737985,0.011810322129294984,0.013323562509500321,0.014302628787691367,0.011099138932114637,0.012780744654075091,0.01374342270620141,0.01284363035822168,0.013260334412532123,0.014108545348549575
318,0.00460898107999605,0.004674673872372731,0.004088020742973747,0.0022905630125384167,0.0024147743352514127,0.0017033749776224024,0.0019299617539970287,0.0018635057387110857,0.01213750578183377,0.013637540723720793,0.009966949787935202,0.005628827409055172,0.005211444564306555,0.0056657485462742385,0.005154017494355861,0.004786461464892241,0.01107679013996475,0.011910675200453871,0.010556220490471386,0.005309822215402237,0.005766948939746527,0.0070081695474582826,0.010026769277766861,0.005978610320088057,0.01662128633028396,0.014835198839288462,0.016983432686392907,0.014199178193924522,0.013416348299621272,0.014397794008082344,0.014559050368918726,0.011056598955498124,0.013325409032655002,0.014392185160693311,0.011166655599093595,0.012721524018614306,0.013616893237536653,0.012794247188110211,0.01321835465452062,0.014020390521260995
319,0.004654610252546843,0.004734260881475318,0.004195884473789563,0.002341221162923355,0.0024990744122278218,0.001832120007619218,0.00196001205316453,0.0020268829033330766,0.012463843444326939,0.013902996412821082,0.010335249222824734,0.005752551787891519,0.005373606201105133,0.005909403671419553,0.005236692038096987,0.005039963048194442,0.011217168532289601,0.012476638544166434,0.010662693333716144,0.005128644454326376,0.00590141805829607,0.007122152384226077,0.009859684245356366,0.00590543284727632,0.017349278750150156,0.01504573578561661,0.01738823559254985,0.015035210870088495,0.013409416510318389,0.014603620055510818,0.015057037413265343,0.010574328674250896,0.013347467390427024,0.01453500826440982,0.01132282003244283,0.012714600222918154,0.013568935593958737,0.012753242650119793,0.01323687051224337,0.013971816037697066
320,0.004734527001966045,0.004843541812151011,0.004337309029395232,0.002351533082138804,0.002540088276092758,0.0018527183664286627,0.0020613674893006904,0.0020852598802168776,0.012723225324580053,0.014308426817106347,0.010650912755797493,0.005876107634852638,0.005503270162808976,0.005970300299758107,0.0053916844088594046,0.005151524821323823,0.011329168288454409,0.012786017769981456,0.010831471012351762,0.005198905592949374,0.005819299070222695,0.006942350189641706,0.009712465990206027,0.005907320670732438,0.018052704151998833,0.015809290429557737,0.017872881307263742,0.015755710615912907,0.014210481153841045,0.014651320571405578,0.015562776923872477,0.011138462148156133,0.013469273969782015,0.014656821505103753,0.011617203252031973,0.012757024958370972,0.01356229290676593,0.012780343641470793,0.013350258491443657,0.013992808581238393
